Model,CV_MacroF1,Best_Params
CatBoost,0.4364643085600607,"{'random_strength': 5.0, 'learning_rate': 0.03, 'l2_leaf_reg': 7, 'iterations': 1000, 'depth': 5, 'class_weights': {2: 0.73, 1: 1.38, 0: 1.11}, 'bagging_temperature': 1.0}"
SVM_RBF,0.4286528301323493,"{'clf__gamma': 0.01, 'clf__class_weight': 'balanced', 'clf__C': 4.0}"
GradientBoosting,0.4024617692131537,"{'subsample': 0.85, 'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.08}"
KNN,0.4006321746388662,"{'clf__weights': 'uniform', 'clf__p': 1, 'clf__n_neighbors': 15}"
XGBoost,0.39961720841793474,"{'subsample': 0.95, 'reg_lambda': 2.0, 'reg_alpha': 0.0, 'n_estimators': 400, 'max_depth': 5, 'learning_rate': 0.05, 'colsample_bytree': 0.85}"
DecisionTree,0.38276896920885056,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 12, 'criterion': 'gini'}"
RandomForest,0.3795111193846322,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20}"
NeuralNetwork_MLP,0.3700845062123259,"{'clf__learning_rate_init': 0.001, 'clf__hidden_layer_sizes': (128, 64, 32), 'clf__alpha': 0.0001}"
